pc_code,pc_description,unit,country_name,quantity,Per unit,categoryName,categoryID,Value,year
H9,Agro Chemicals,Kgs,Afghanistan,239068,0.716538,Fertilizers,3,171301.3066,2013
L5,"Aluminium, Products Of Aluminm",Ton,Afghanistan,1462,9.443439,Metals,2,13806.30782,2013
I8,Auto Tyres And Tubes,Nos,Afghanistan,146510,4.553477,Machinery and Parts,5,667129.9153,2019
H4,Ayush And Herbal Products,Kgs,Afghanistan,150090,1.086813,Cosmetics,6,163119.7632,2016
H5,"Bulk Drugs, Drug Intermediates",Kgs,Afghanistan,256929,2.309159,Chemicals,7,593289.9127,2016
S2,Carpet(Excl. Silk) Handmade,Sqm,Afghanistan,513,0.047252,Handicrafts,12,24.240276,2015
L6,Copper And Prdcts Made Of Copr,Ton,Afghanistan,423,5.774782,Metals,2,2442.732786,2018
97,M1,Zinc And Products Made Of Zinc,Ton,Australia,542,1.521112,Metals,2,824.442704,2012
35,O4,"Aircraft, Spacecraft And Parts",Na,Australia,444,2.172467,Machinery and Parts,10,964.575348,2013
38,M3,Auto Components/Parts,Na,Australia,777,22.036931,Machinery and Parts,10,17122.69539,2013
42,H5,"Bulk Drugs, Drug Intermediates",Kgs,Australia,854435,11.700694,Chemicals,7,9997482.478,2013
62,R8,Floor Cvrng Of Jute,Sqm,Australia,476175,3.056358,Handicrafts,12,1455361.271,2013
84,S6,Petroleum Products,Ton,Australia,1507662,705.2814,Petroleum Products,13,1063325966,2013
89,O3,Pumps Of All Types,Na,Australia,3915,10.826282,Machinery and parts,10,42384.89403,2013
130,Q3,"Manmade Yarn,Fabrics,Madeups",Na,Bangladesh,4557,320.279555,Fabric Materials,14,1459513.932,2020
141,A5,Plastic Glass,Ton,Bangladesh,37270,9.030318,Plastic Products,8,336559.9519,2020
145,O6,"Railwy Trnsprt Equipmnts, Prts",Na,Bangladesh,4261,42.999289,Machinery and parts,10,183219.9704,2020
160,N2,Bicycle And Parts,Na,Bhutan,17541,0.003329,Machinery and Parts,10,58.393989,2012
161,H5,"Bulk Drugs, Drug Intermediates",Kgs,Bhutan,899737,0.754824,Chemicals,7,679143.0813,2012
700,L6,Copper And Prdcts Made Of Copr,Ton,Hong Kong,77,0.693057,Metals,2,53.365389,2012
703,H8,"Drug Formulations, Biologicals",Kgs,Hong Kong,435633,10.125905,Chemicals,7,4411178.373,2012
715,O5,Motor Vehicle/Cars,Nos,Hong Kong,106,2.656674,Machinery and parts,10,281.607444,2012
731,S2,Carpet(Excl. Silk) Handmade,Sqm,Hong Kong,1603171,14.516588,Handicrafts,12,23272572.9,2012
732,L6,Copper And Prdcts Made Of Copr,Ton,Hong Kong,969,6.72515,Metals,2,6516.67035,2012
734,P7,Cotton Yarn,Ton,Hong Kong,7772,23.950361,Fabric Materials,14,186142.2057,2012
741,H3,Fertilizers Manufactured,Ton,Hong Kong,96,0.127852,Fertilizers,3,12.273792,2012
814,M5,Accumulators And Batteries,Na,Iraq,4896,1.608261,Accumulators and Batteries,10,7874.045856,2014
818,M3,Auto Components/Parts,Na,Iraq,1569,1.004583,Machinery and Parts,10,1576.190727,2014
821,N2,Bicycle And Parts,Na,Iraq,659654,1.061657,Machinery and Parts,10,700326.2867,2014
827,I5,Cosmetics And Toiletries,Na,Iraq,2966,6.360685,Cosmetics,6,18865.79171,2014
841,G9,Gold And Oth Precs Metl Jwlery,Na,Iraq,3095,0.029608,Metals,2,91.63676,2014
845,L7,Lead And Products Made Of Led,Ton,Iraq,16,0.039815,Metals,2,0.63704,2014
